Name,Division,Lat,Long
Angers SCO,4,47.4605516,-0.5306948
ES Troyes,4,48.3075171,4.0985168
AC Ajaccio,4,41.9309393,8.7767817
AJ Auxerre,4,47.7867848,3.5886237
FC Nantes,4,47.256005,-1.5247552
RC Strasbourg,3,48.5600477,7.7551252
Stade Brestois 29,3,48.4030422,-4.4613605
Toulouse FC,3,43.5832262,1.4340638
Montpellier HSC,3,43.622022,3.8120898
Stade de Reims,3,49.2470758,4.0247869
FC Lorient,2,47.7488686,-3.3693032
OGC Nice,2,43.7051477,7.1926033
Clermont Foot 63,2,45.8158775,3.1215004
Olympique Lyonnais,2,45.7653624,4.9820543
AS Monaco,2,43.7275713,7.4154577
LOSC,1,50.6119044,3.130508
Stade Rennais,1,48.107494,-1.712888
Olympique de Marseille,1,43.269835,5.3959117
Racing Club de Lens,1,50.43281,2.8149878
Paris Saint-Germain,1,48.8413634,2.2530693
